# Wordlist

# DATA
ID	DOCULECT	FAMILY	SUBGROUP	CONCEPT	TOKENS	FORM	VALUE	COMMENT	SOURCE	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS	ALIGNMENT	COGID
#
260	EseEjja	Pano-Tacanan	Tacana	alcohol (fermented drink)	ʃ i x ʔ e n a	šixe-ʔena	šixe-ʔena		Key2021	3 7 3 1 7 4 7	AXMBYBZ	SIGHENA	9	9.S.C 9.I.V 9.G.c 9.H.C 9.E.V 9.N.C 9.A.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	ʃixʔena	0	1	ʃ i x - ʔ - e n - a -	7
771	HuarayoEseEjja	Pano-Tacanan	Tacana	alcohol (fermented drink)	e + i ʃ i + x i	e-iši-xi	e-iši-xi		Key2021	7 9 7 3 7 9 3 7	X_XBZ_AX	E_ISI_GI	10	10.E.V 10._._ 10.I.V 10.S.C 10.I.V 10._._ 10.G.C 10.I.V	1.5 0.0 1.5 1.75 0.8 0.0 2.0 1.5	e+iʃi+xi	1	5 2 6	e + - i ʃ i - + x i	8
772	HuarayoEseEjja	Pano-Tacanan	Tacana	alcohol (fermented drink)	b i ʃ o + n a	bi'šo-'na	bi'šo-'na		Key2021	1 7 3 7 9 4 7	AXBZ_AX	PISU_NA	10	10.P.C 10.I.V 10.S.C 10.U.V 10._._ 10.N.C 10.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	biʃo+na	0	2 1	b i ʃ o - + - - - - - - - n - a -	16
1642	Catuquina	Pano-Tacanan	Pano	alcohol (fermented drink)	k a ʂ a	kaṣ̌a	kaṣ̌a		Key2021	1 7 3 7	AXBZ	KASA	5	5.K.C 5.A.V 5.S.C 5.A.V	2.0 1.5 1.75 0.8	kaʂa	0	2	k a ʂ a -	3
2189	ShipiboConibo	Pano-Tacanan	Pano	alcohol (fermented drink)	p a ɨ	paɨ	paɨ		Key2021	1 7 7	AXZ	PAI	18	18.P.C 18.A.V 18.I.V	2.0 1.5 0.8	paɨ	0	2	p a - ɨ -	2
2190	ShipiboConibo	Pano-Tacanan	Pano	alcohol (fermented drink)	m o k a	moka	moka		Key2021	4 7 1 7	AXBZ	MUKA	18	18.M.C 18.U.V 18.K.C 18.A.V	2.0 1.5 1.75 0.8	moka	1	7	m o k a	18
2817	Yaminahua	Pano-Tacanan	Pano	alcohol (fermented drink)	m ã m ã	mãmã	mãmã		Key2021	4 7 4 7	AXBZ	MAMA	21	21.M.C 21.A.V 21.M.C 21.A.V	2.0 1.5 1.75 0.8	mãmã	0	7	m ã m ã	15
2818	Yaminahua	Pano-Tacanan	Pano	alcohol (fermented drink)	m ã m ã + p a ɨ a	mãmã paɨa	mãmã paɨa		Key2021	4 7 4 7 9 1 7 7 7	AXBZ_AXYZ	MAMA_PAIA	21	21.M.C 21.A.V 21.M.C 21.A.V 21._._ 21.P.C 21.A.V 21.I.V 21.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.3 0.8	mãmã+paɨa	0	7 2	m ã m ã + p a - ɨ a	15
3174	Amahuaca	Pano-Tacanan	Pano	alcohol (fermented drink)	h a j a t í/i	hayatí	hayatí		Hyde1980	3 7 6 7 1 7	AXBYBZ	HAJATI	1	1.H.C 1.A.V 1.J.C 1.A.V 1.T.C 1.I.V	2.0 1.5 1.75 1.3 1.75 0.8	hajatí/i	0	1	h a j - - - a - t í/i -	1
3929	Capanahua	Pano-Tacanan	Pano	alcohol (fermented drink)	p a ʔ ɨ	pahe	pahe		Loos1998	1 7 1 7	AXBZ	PAHI	3	3.P.C 3.A.V 3.H.C 3.I.V	2.0 1.5 1.75 0.8	paʔɨ	1	2	p a ʔ ɨ -	2
4538	Moseten	Mosetén-Chimané	Mosetén	alcohol (fermented drink)	tʃ u k j e	'čukye	'čukye		Key2021	1 7 1 6 7	AXBCZ	TYKJE	15	15.T.C 15.Y.V 15.K.C 15.J.C 15.E.V	2.0 1.5 1.75 1.5 0.8	tʃukje	0	4	- tʃ u k j e	10
4539	Moseten	Mosetén-Chimané	Mosetén	alcohol (fermented drink)	ʃ o k dʲ e ʔ	šokdʸeʔ	šokdʸeʔ		Key2021	3 7 1 1 7 1	AXMBYN	SUKTEH	15	15.S.C 15.U.V 15.K.c 15.T.C 15.E.V 15.H.c	2.0 1.5 1.1 1.75 1.3 0.8	ʃokdʲeʔ	0	1	ʃ o k - - - - - dʲ e ʔ	17
4540	Movima	Movima	Movima	alcohol (fermented drink)	p o ʔ + s o	poʔ-so	poʔ-so		Key2021	1 7 1 9 3 7	AXN_AX	PUH_SU	16	16.P.C 16.U.V 16.H.c 16._._ 16.S.C 16.U.V	2.0 1.5 0.8 0.0 2.0 1.5	poʔ+so	0	8 2	p o ʔ + s - - o -	11
6782	Isconahua	Pano-Tacanan	Pano	alcohol (fermented drink)	o m a	oma	oma		Zariquiey2016	7 4 7	XBZ	UMA	11	11.U.V 11.M.C 11.A.V	1.5 1.75 0.8	oma	0	7	- o m a	9
7642	Chipaya	Uru-Chipaya	Uru-Chipaya	alcohol (fermented drink)	l i k + tʃ i	lik-chi	lik-chi		Cerron2011	5 7 1 9 1 7	AXN_AX	LIK_TI	8	8.L.C 8.I.V 8.K.c 8._._ 8.T.C 8.I.V	2.0 1.5 0.8 0.0 2.0 1.5	lik+tʃi	1	3 4	l i k + - tʃ i - - -	6
8360	Cavinena	Pano-Tacanan	Tacana	alcohol (fermented drink)	e n a h e w e	enajewe	enajewe		Guillaume2008	7 4 7 3 7 6 7	XBYBYBZ	ENAHEWE	6	6.E.V 6.N.C 6.A.V 6.H.C 6.E.V 6.W.C 6.E.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	enahewe	0	1	- e n a h - e - w e -	4
8796	Tacana	Pano-Tacanan	Tacana	alcohol (fermented drink)	e + i d ʔ i	e-id’i	e-id’i		Ottaviano1989	7 9 7 1 1 7	X_XMBZ	E_ITHI	19	19.E.V 19._._ 19.I.V 19.T.c 19.H.C 19.I.V	1.5 0.0 1.5 1.1 1.75 0.8	e+idʔi	0	5 4	e + i d - - ʔ i	13
9223	Tsimane	Mosetén-Chimané	Mosetén	alcohol (fermented drink)	tʃʰ o n o ʔ m a k dʲ e s	ćhono’macdyes	ćhono’macdyes		Gill1993	1 7 4 7 1 4 7 1 1 7 3	AXBYBCYMBYN	TUNUHMAKTES	20	20.T.C 20.U.V 20.N.C 20.U.V 20.H.C 20.M.C 20.A.V 20.K.c 20.T.C 20.E.V 20.S.c	2.0 1.5 1.75 1.3 1.75 1.5 1.3 1.1 1.75 1.3 0.8	tʃʰonoʔmakdʲes	0	1	tʃʰ o n o ʔ m a k dʲ e s	14
9840	Chacobo	Pano-Tacanan	Pano	alcohol (fermented drink)	h ɨ n ɨ + ʃ a p o	jënë-shapo	jënë-shapo		Zingg1998	3 7 4 7 9 3 7 1 7	AXBZ_AXBZ	HINI_SAPU	7	7.H.C 7.I.V 7.N.C 7.I.V 7._._ 7.S.C 7.A.V 7.P.C 7.U.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	hɨnɨ+ʃapo	0	1 2	- - - - h - ɨ n - ɨ - + ʃ a p o -	5
#
437	EseEjja	Pano-Tacanan	Tacana	all	o x a ɲ a	oxaɲa	oxaɲa		Key2021	7 3 7 4 7	XBYBZ	UGANA	9	9.U.V 9.G.C 9.A.V 9.N.C 9.A.V	1.5 1.75 1.3 1.75 0.8	oxaɲa	0	33	- o x a ɲ a	27
438	EseEjja	Pano-Tacanan	Tacana	all	w a s e e	wasee	wasee		Key2021	6 7 3 7 7	AXBYZ	WASEE	9	9.W.C 9.A.V 9.S.C 9.E.V 9.E.V	2.0 1.5 1.75 1.3 0.8	wasee	0	33	w a s e - e	40
1325	Cashibo	Pano-Tacanan	Pano	all	k a m a β i	kamaβi	kamaβi		Key2021	1 7 4 7 3 7	AXBYBZ	KAMABI	4	4.K.C 4.A.V 4.M.C 4.A.V 4.B.C 4.I.V	2.0 1.5 1.75 1.3 1.75 0.8	kamaβi	0	30	- - k a m a β i	22
1788	Catuquina	Pano-Tacanan	Pano	all	k ɨ j o + s + k a	kɨyo-s-ka	kɨyo-s-ka		Key2021	1 7 6 7 9 3 9 1 7	AXBZ_A_AX	KIJU_S_KA	5	5.K.C 5.I.V 5.J.C 5.U.V 5._._ 5.S.C 5._._ 5.K.C 5.A.V	2.0 1.5 1.75 0.8 0.0 2.0 0.0 2.0 1.5	kɨjo+s+ka	0	29 31 30	k ɨ j o + s + - - - - k a - -	19
2394	ShipiboConibo	Pano-Tacanan	Pano	all	t i i β i	-tiiβi	-tiiβi		Key2021	1 7 7 3 7	AXYBZ	TIIBI	18	18.T.C 18.I.V 18.I.V 18.B.C 18.I.V	2.0 1.5 1.3 1.75 0.8	tiiβi	0	30	- - t i - i β i	21
2395	ShipiboConibo	Pano-Tacanan	Pano	all	h a t i β i	hatiβi	hatiβi		Key2021	3 7 1 7 3 7	AXBYBZ	HATIBI	18	18.H.C 18.A.V 18.T.C 18.I.V 18.B.C 18.I.V	2.0 1.5 1.75 1.3 1.75 0.8	hatiβi	0	30	h a t - - i β i	21
2984	Yaminahua	Pano-Tacanan	Pano	all	k ɨ j o + k õ i	kɨyo-kõi	kɨyo-kõi		Key2021	1 7 6 7 9 1 7 7	AXBZ_AXZ	KIJU_KUI	21	21.K.C 21.I.V 21.J.C 21.U.V 21._._ 21.K.C 21.U.V 21.I.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 0.8	kɨjo+kõi	0	29 30	k ɨ j o + - - - - k õ - i	19
3129	Amahuaca	Pano-Tacanan	Pano	all	k í/i j o	quíyoo	quíyoo		Hyde1980	1 7 6 7	AXBZ	KIJU	1	1.K.C 1.I.V 1.J.C 1.U.V	2.0 1.5 1.75 0.8	kí/ijo	0	29	k í/i j o	19
3795	Capanahua	Pano-Tacanan	Pano	all	h a t i ʔ i β i	jatihibi	jatihibi, rahsi		Loos1998	3 7 1 7 1 7 3 7	AXBYBYBZ	HATIHIBI	3	3.H.C 3.A.V 3.T.C 3.I.V 3.H.C 3.I.V 3.B.C 3.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	hatiʔiβi	0	30	h a t i ʔ i β i	21
3796	Capanahua	Pano-Tacanan	Pano	all	r a ʔ s i	rahsi	jatihibi, rahsi		Loos1998	5 7 1 3 7	AXBCZ	RAHSI	3	3.R.C 3.A.V 3.H.C 3.S.C 3.I.V	2.0 1.5 1.75 1.5 0.8	raʔsi	0	32	- - - - r a ʔ s i -	38
4513	Moseten	Mosetén-Chimané	Mosetén	all	e r e h t u m	e'rehtum	e'rehtum		Key2021	7 5 7 3 1 7 4	XBYMBYN	EREHTYM	15	15.E.V 15.R.C 15.E.V 15.H.c 15.T.C 15.Y.V 15.M.c	1.5 1.75 1.3 1.1 1.75 1.3 0.8	erehtum	0	32	- - - e r e h t u m	31
4514	Movima	Movima	Movima	all	ɓ a + r a	ɓa-ra	ɓa-ra		Key2021	1 7 9 5 7	AX_AX	PA_RA	16	16.P.C 16.A.V 16._._ 16.R.C 16.A.V	2.0 1.5 0.0 2.0 1.5	ɓa+ra	0	30 32	- - - - ɓ a - - + - - - - r a - - - -	32
5218	Matses	Pano-Tacanan	Pano	all	a b i t ɛ d i	abitedi	abitedi		Fleck2012	7 1 7 1 7 1 7	XBYBYBZ	APITETI	14	14.A.V 14.P.C 14.I.V 14.T.C 14.E.V 14.T.C 14.I.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	abitɛdi	0	30	- a b i t ɛ d i	30
5219	Matses	Pano-Tacanan	Pano	all	t ɛ d i	tedi	tedi		Fleck2012	1 7 1 7	AXBZ	TETI	14	14.T.C 14.E.V 14.T.C 14.I.V	2.0 1.5 1.75 0.8	tɛdi	0	30	- - - - t ɛ d i	30
6143	Sharanahua	Pano-Tacanan	Pano	all	n a n t i β i	nantifi	nantifi		Scott2004	4 7 4 1 7 3 7	AXMBYBZ	NANTIBI	17	17.N.C 17.A.V 17.N.c 17.T.C 17.I.V 17.B.C 17.I.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	nantiβi	0	30	n a n - t i β i	33
6274	Kakataibo	Pano-Tacanan	Pano	all	k a m a β̞ i	kamabi	kamabi		Zariquiey2018	1 7 4 7 3 7	AXBYBZ	KAMABI	12	12.K.C 12.A.V 12.M.C 12.A.V 12.B.C 12.I.V	2.0 1.5 1.75 1.3 1.75 0.8	kamaβ̞i	0	30	- - k a m a β̞ i	22
6783	Isconahua	Pano-Tacanan	Pano	all	a ɾ a n a β i	aranabi	aranabi		Zariquiey2016	7 5 7 4 7 3 7	XBYBYBZ	ARANABI	11	11.A.V 11.R.C 11.A.V 11.N.C 11.A.V 11.B.C 11.I.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	aɾanaβi	0	30	- a ɾ a n a β i	28
7640	Chipaya	Uru-Chipaya	Uru-Chipaya	all	l i χ u	liju	liju, thapa		Cerron2011	5 7 3 7	AXBZ	LIGY	8	8.L.C 8.I.V 8.G.C 8.Y.V	2.0 1.5 1.75 0.8	liχu	0	33	l i χ - - u	26
7641	Chipaya	Uru-Chipaya	Uru-Chipaya	all	tʰ a p a	thapa	liju, thapa		Cerron2011	1 7 1 7	AXBZ	TAPA	8	8.T.C 8.A.V 8.P.C 8.A.V	2.0 1.5 1.75 0.8	tʰapa	0	30	- - - - tʰ a p a	39
8337	Cavinena	Pano-Tacanan	Tacana	all	d u tʲ a	dutya	dutya		Guillaume2008	1 7 1 7	AXBZ	TYTA	6	6.T.C 6.Y.V 6.T.C 6.A.V	2.0 1.5 1.75 0.8	dutʲa	0	30	- - - - d u tʲ a	24
8961	Tacana	Pano-Tacanan	Tacana	all	p a m a p a	pamapa	pamapa		Ottaviano1989	1 7 4 7 1 7	AXBYBZ	PAMAPA	19	19.P.C 19.A.V 19.M.C 19.A.V 19.P.C 19.A.V	2.0 1.5 1.75 1.3 1.75 0.8	pamapa	0	30	- - p a m a p a	35
9495	Tsimane	Mosetén-Chimané	Mosetén	all	r ə h	räj	räj, tas		Gill1993	5 7 3	AXN	REH	20	20.R.C 20.E.V 20.H.c	2.0 1.5 0.8	rəh	0	32	- - - - r ə h - - -	36
9496	Tsimane	Mosetén-Chimané	Mosetén	all	t a s	tas	räj, tas		Gill1993	1 7 3	AXN	TAS	20	20.T.C 20.A.V 20.S.c	2.0 1.5 0.8	tas	0	30	- - - - t a s -	43
9833	Chacobo	Pano-Tacanan	Pano	all	h a t i r o ʔ a + k a	jatiroha ca	jatiroha ca		Zingg1998	3 7 1 7 5 7 1 7 9 1 7	AXBYBYBZ_AX	HATIRUHA_KA	7	7.H.C 7.A.V 7.T.C 7.I.V 7.R.C 7.U.V 7.H.C 7.A.V 7._._ 7.K.C 7.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8 0.0 2.0 1.5	hatiroʔa+ka	0	32 30	h a t i r o ʔ - a - + - - - - k a - -	25
10123	Araona	Pano-Tacanan	Tacana	all	b a b a o w e	babaohue	babaohue		Pitman1981	1 7 1 7 7 6 7	AXBYYBZ	PAPAUWE	2	2.P.C 2.A.V 2.P.C 2.A.V 2.U.V 2.W.C 2.E.V	2.0 1.5 1.75 1.3 1.3 1.75 0.8	babaowe	0	30	b a b a - o w e	20
#
92	EseEjja	Pano-Tacanan	Tacana	animal	i x i a k a x i	ixiakaxi	ixiakaxi		Key2021	7 3 7 7 1 7 3 7	XBYYBYBZ	IGIAKAGI	9	9.I.V 9.G.C 9.I.V 9.A.V 9.K.C 9.A.V 9.G.C 9.I.V	1.5 1.75 1.3 1.3 1.75 1.3 1.75 0.8	ixiakaxi	0	64	i x i a k a x i	51
1043	Cashibo	Pano-Tacanan	Pano	animal	ɲ u i n a	ɲuina	ɲuina		Key2021	4 7 7 4 7	AXYBZ	NYINA	4	4.N.C 4.Y.V 4.I.V 4.N.C 4.A.V	2.0 1.5 1.3 1.75 0.8	ɲuina	0	61	- ɲ u - i n a -	46
1497	Catuquina	Pano-Tacanan	Pano	animal	j o ʔ i n a	yoʔina	yoʔina		Key2021	6 7 1 7 4 7	AXBYBZ	JUHINA	5	5.J.C 5.U.V 5.H.C 5.I.V 5.N.C 5.A.V	2.0 1.5 1.75 1.3 1.75 0.8	joʔina	0	61	- j o ʔ i n a -	46
1987	ShipiboConibo	Pano-Tacanan	Pano	animal	j o i n a	yoina	yoina		Key2021	6 7 7 4 7	AXYBZ	JUINA	18	18.J.C 18.U.V 18.I.V 18.N.C 18.A.V	2.0 1.5 1.3 1.75 0.8	joina	0	61	- j o - i n a -	46
2654	Yaminahua	Pano-Tacanan	Pano	animal	j õ i n ã	yõinã	yõinã		Key2021	6 7 7 4 7	AXYBZ	JUINA	21	21.J.C 21.U.V 21.I.V 21.N.C 21.A.V	2.0 1.5 1.3 1.75 0.8	jõinã	0	61	- j õ - i n ã -	46
3194	Amahuaca	Pano-Tacanan	Pano	animal	tʃ í/i t ɯ	chítu	chítu		Hyde1980	1 7 1 7	AXBZ	TITI	1	1.T.C 1.I.V 1.T.C 1.I.V	2.0 1.5 1.75 0.8	tʃí/itɯ	0	60	tʃ í/i - t - ɯ	44
4241	Capanahua	Pano-Tacanan	Pano	animal	j o ʔ i n a ʔ	yohinah	yohinah		Loos1998	6 7 1 7 4 7 1	AXBYBYN	JUHINAH	3	3.J.C 3.U.V 3.H.C 3.I.V 3.N.C 3.A.V 3.H.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	joʔinaʔ	0	61	- j o ʔ i n a ʔ	46
4264	Moseten	Mosetén-Chimané	Mosetén	animal	h e b a k + dʲ e	hebak-'dʸe	hebak-'dʸe		Key2021	3 7 1 7 1 9 1 7	AXBYN_AX	HEPAK_TE	15	15.H.C 15.E.V 15.P.C 15.A.V 15.K.c 15._._ 15.T.C 15.E.V	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5	hebak+dʲe	0	62 60	h e b a - k - - + - - - dʲ - e	54
4265	Movima	Movima	Movima	animal	p o p o i + kʷ a	popoi-kʷa	popoi-kʷa		Key2021	1 7 1 7 7 9 1 7	AXBYZ_AX	PUPUI_KA	16	16.P.C 16.U.V 16.P.C 16.U.V 16.I.V 16._._ 16.K.C 16.A.V	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5	popoi+kʷa	0	62 65	p o p o - - i - + kʷ a	55
5704	Sharanahua	Pano-Tacanan	Pano	animal	β i ʂ t ɯ i	fishtui	fishtui		Scott2004	3 7 3 1 7 7	AXMBYZ	BISTII	17	17.B.C 17.I.V 17.S.c 17.T.C 17.I.V 17.I.V	2.0 1.5 1.1 1.75 1.3 0.8	βiʂtɯi	0	60	β i ʂ t ɯ i	56
6275	Kakataibo	Pano-Tacanan	Pano	animal	ɲ ɯ i n a	ñuina	ñuina		Zariquiey2018	4 7 7 4 7	AXYBZ	NIINA	12	12.N.C 12.I.V 12.I.V 12.N.C 12.A.V	2.0 1.5 1.3 1.75 0.8	ɲɯina	0	61	- ɲ ɯ - i n a -	46
6784	Isconahua	Pano-Tacanan	Pano	animal	j o i n a	yoina	yoina		Zariquiey2016	6 7 7 4 7	AXYBZ	JUINA	11	11.J.C 11.U.V 11.I.V 11.N.C 11.A.V	2.0 1.5 1.3 1.75 0.8	joina	0	61	- j o - i n a -	46
7462	Chipaya	Uru-Chipaya	Uru-Chipaya	animal	u j w a	uywa	uywa, yaticha		Cerron2011	7 6 6 7	XMBZ	YJWA	8	8.Y.V 8.J.c 8.W.C 8.A.V	1.5 1.1 1.75 0.8	ujwa	0	63	u j w a	50
7463	Chipaya	Uru-Chipaya	Uru-Chipaya	animal	j a t i tʃ a	yaticha	uywa, yaticha		Cerron2011	6 7 1 7 1 7	AXBYBZ	JATITA	8	8.J.C 8.A.V 8.T.C 8.I.V 8.T.C 8.A.V	2.0 1.5 1.75 1.3 1.75 0.8	jatitʃa	0	61	- j a t i tʃ a -	62
8637	Cavinena	Pano-Tacanan	Tacana	animal	u p a t i	upati	upati, kwanubi		Guillaume2008	7 1 7 1 7	XBYBZ	YPATI	6	6.Y.V 6.P.C 6.A.V 6.T.C 6.I.V	1.5 1.75 1.3 1.75 0.8	upati	0	62	- u p a - t i -	48
8638	Cavinena	Pano-Tacanan	Tacana	animal	k w a n u b i	kwanubi	upati, kwanubi		Guillaume2008	1 6 7 4 7 1 7	ACXBYBZ	KWANYPI	6	6.K.C 6.W.C 6.A.V 6.N.C 6.Y.V 6.P.C 6.I.V	2.0 1.5 1.5 1.75 1.3 1.75 0.8	kwanubi	0	66	k w a n u b i	61
8672	Tacana	Pano-Tacanan	Tacana	animal	a n i m a l u	animalu	animalu		Ottaviano1989	7 4 7 4 7 5 7	XBYBYBZ	ANIMALY	19	19.A.V 19.N.C 19.I.V 19.M.C 19.A.V 19.L.C 19.Y.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	animalu	0	61	a n i m a l u -	58
9341	Tsimane	Mosetén-Chimané	Mosetén	animal	h e b a k dʲ e ʔ	jebacdye’	jebacdye’		Gill1993	3 7 1 7 1 1 7 1	AXBYMBYN	HEPAKTEH	20	20.H.C 20.E.V 20.P.C 20.A.V 20.K.c 20.T.C 20.E.V 20.H.c	2.0 1.5 1.75 1.3 1.1 1.75 1.3 0.8	hebakdʲeʔ	0	62	h e b a k dʲ e ʔ	54
10069	Chacobo	Pano-Tacanan	Pano	animal	j o ʔ i n a	yohina	yohina		Zingg1998	6 7 1 7 4 7	AXBYBZ	JUHINA	7	7.J.C 7.U.V 7.H.C 7.I.V 7.N.C 7.A.V	2.0 1.5 1.75 1.3 1.75 0.8	joʔina	0	61	- j o ʔ i n a -	46
#
110	EseEjja	Pano-Tacanan	Tacana	ant	ʃ e m e	šeme	šeme		Key2021	3 7 4 7	AXBZ	SEME	9	9.S.C 9.E.V 9.M.C 9.E.V	2.0 1.5 1.75 0.8	ʃeme	0	82	ʃ e - m e - -	68
659	HuarayoEseEjja	Pano-Tacanan	Tacana	ant	p o x i + a s o	poxi aso	poxi aso		Key2021	1 7 3 7 9 7 3 7	AXBZ_XBZ	PUGI_ASU	10	10.P.C 10.U.V 10.G.C 10.I.V 10._._ 10.A.V 10.S.C 10.U.V	2.0 1.5 1.75 0.8 0.0 1.5 1.75 0.8	poxi+aso	0	83 82	p o x - - i + - a - s o - -	69
1059	Cashibo	Pano-Tacanan	Pano	ant	k u t i ʃ	ku'tiš	ku'tiš		Key2021	1 7 1 7 3	AXBYN	KYTIS	4	4.K.C 4.Y.V 4.T.C 4.I.V 4.S.c	2.0 1.5 1.75 1.3 0.8	kutiʃ	0	84	k - u - - t i - ʃ -	66
1513	Catuquina	Pano-Tacanan	Pano	ant	h i m a	hima	hima		Key2021	3 7 4 7	AXBZ	HIMA	5	5.H.C 5.I.V 5.M.C 5.A.V	2.0 1.5 1.75 0.8	hima	0	82	h i - m a - -	63
2006	ShipiboConibo	Pano-Tacanan	Pano	ant	β o n a	βona	βona		Key2021	3 7 4 7	AXBZ	BUNA	18	18.B.C 18.U.V 18.N.C 18.A.V	2.0 1.5 1.75 0.8	βona	0	83	β o n - - a	75
2670	Yaminahua	Pano-Tacanan	Pano	ant	ɨ ɨ	ɨɨ	ɨɨ		Key2021	7 7	XZ	II	21	21.I.V 21.I.V	1.5 0.8	ɨɨ	0	82	- ɨ - - - - ɨ	78
3187	Amahuaca	Pano-Tacanan	Pano	ant	x í/i m a	jíma	jíma		Hyde1980	3 7 4 7	AXBZ	GIMA	1	1.G.C 1.I.V 1.M.C 1.A.V	2.0 1.5 1.75 0.8	xí/ima	0	82	x í/i - m a - -	63
3810	Capanahua	Pano-Tacanan	Pano	ant	h i s i s	jisis	jisis, jiin, xehi		Loos1998	3 7 3 7 3	AXBYN	HISIS	3	3.H.C 3.I.V 3.S.C 3.I.V 3.S.c	2.0 1.5 1.75 1.3 0.8	hisis	0	82	h i - s i s -	65
3811	Capanahua	Pano-Tacanan	Pano	ant	h i i n	jiin	jisis, jiin, xehi		Loos1998	3 7 7 4	AXYN	HIIN	3	3.H.C 3.I.V 3.I.V 3.N.c	2.0 1.5 1.3 0.8	hiin	0	82	h i - - i n -	79
3812	Capanahua	Pano-Tacanan	Pano	ant	ʂ ɨ ʔ i	xehi	jisis, jiin, xehi		Loos1998	3 7 1 7	AXBZ	SIHI	3	3.S.C 3.I.V 3.H.C 3.I.V	2.0 1.5 1.75 0.8	ʂɨʔi	0	82	ʂ ɨ - ʔ - - i	83
4266	Moseten	Mosetén-Chimané	Mosetén	ant	k a s t k i t k i	kastkit'ki	kastkit'ki		Key2021	1 7 3 1 1 7 1 1 7	AXLMBYMBZ	KASTKITKI	15	15.K.C 15.A.V 15.S.c 15.T.c 15.K.C 15.I.V 15.T.c 15.K.C 15.I.V	2.0 1.5 1.1 1.1 1.75 1.3 1.1 1.75 0.8	kastkitki	0	84	k - a s t k i t k i	73
4267	Moseten	Mosetén-Chimané	Mosetén	ant	k i k i k i	ki'kiki	ki'kiki		Key2021	1 7 1 7 1 7	AXBYBZ	KIKIKI	15	15.K.C 15.I.V 15.K.C 15.I.V 15.K.C 15.I.V	2.0 1.5 1.75 1.3 1.75 0.8	kikiki	0	84	k - i - - k i - k i	82
4268	Moseten	Mosetén-Chimané	Mosetén	ant	k j a k i	kya'ki	kya'ki		Key2021	1 6 7 1 7	ACXBZ	KJAKI	15	15.K.C 15.J.C 15.A.V 15.K.C 15.I.V	2.0 1.5 1.5 1.75 0.8	kjaki	0	84	k j a - - k i - - -	84
4269	Moseten	Mosetén-Chimané	Mosetén	ant	a j u ʃ a	a'yuša	a'yuša		Key2021	7 6 7 3 7	XBYBZ	AJYSA	15	15.A.V 15.J.C 15.Y.V 15.S.C 15.A.V	1.5 1.75 1.3 1.75 0.8	ajuʃa	0	85	- a j u - ʃ a	85
4270	Movima	Movima	Movima	ant	tʃ i + h e ɬ	či-heɬ	či-heɬ		Key2021	1 7 9 3 7 5	AX_AXN	TI_HEL	16	16.T.C 16.I.V 16._._ 16.H.C 16.E.V 16.L.c	2.0 1.5 0.0 2.0 1.5 0.8	tʃi+heɬ	0	84 82	- - - - - tʃ i - - - + h e - ɬ - - -	74
5220	Matses	Pano-Tacanan	Pano	ant	b a k u ɨ	bacuë	bacuë		Fleck2012	1 7 1 7 7	AXBYZ	PAKYI	14	14.P.C 14.A.V 14.K.C 14.Y.V 14.I.V	2.0 1.5 1.75 1.3 0.8	bakuɨ	1	83	b a k u - ɨ	72
6276	Kakataibo	Pano-Tacanan	Pano	ant	i m a	ima	ima		Zariquiey2018	7 4 7	XBZ	IMA	12	12.I.V 12.M.C 12.A.V	1.5 1.75 0.8	ima	0	82	- i - m a - -	63
6277	Kakataibo	Pano-Tacanan	Pano	ant	ɨ ɯ	ëu	ëu		Zariquiey2018	7 7	XZ	II	12	12.I.V 12.I.V	1.5 0.8	ɨɯ	0	82	- ɨ - - - - ɯ	78
6785	Isconahua	Pano-Tacanan	Pano	ant	ɨ	e	e		Zariquiey2016	7	X	I	11	11.I.V	1.5	ɨ	0	82	- ɨ - - - - -	70
6786	Isconahua	Pano-Tacanan	Pano	ant	i m a	ima	ima		Zariquiey2016	7 4 7	XBZ	IMA	11	11.I.V 11.M.C 11.A.V	1.5 1.75 0.8	ima	0	82	- i - m a - -	63
8894	Tacana	Pano-Tacanan	Tacana	ant	i d ʔ u i	id’ui	id’ui		Ottaviano1989	7 1 1 7 7	XMBYZ	ITHYI	19	19.I.V 19.T.c 19.H.C 19.Y.V 19.I.V	1.5 1.1 1.75 1.3 0.8	idʔui	0	82	- i d ʔ u - i	76
